,Rating,Review_Title,Review
0,8,Love and other wars,"If you don't know the book (like me), but watched the trailer before you watched the movie, you could be excused for feeling a bit cheated. The trailer actually promises something that doesn't really happen (real world). But try to free your mind of that. I was a bit confused, but it didn't really throw me off the movie."
1,6,All The Least Important Parts of the Book in Movie Form.,"This film has possibly the worst ending of any HP film, and wandered the furthest from the books. If you are a fan of the books, this is for you: "
2,7,My least favourite hp movie,"This movie focuses on the relationships too much and not the actual story. There was more of Tom Riddle's backstory in the book and in the film, they could've focused on that instead of the relationships"
3,4,The Best Book...The Worst Movie!,"As an avid Harry Potter fan who has read the books multiple times and of course seen the movies repeatedly, I was extremely excited to see this movie at the midnight showing. Half-Blood Prince is my favorite book and other than 7, the darkest book in the series."
4,8,Darker and Better,"Darker than ever, Lord Voldemort has been revealed in the 'Order of the Phoenix'. The forces of darkness are gathering strength. Fear has spread throughout the wizard world. Harry Potter is now investigating Voldemort's plans through his old teacher Professor Horace Slughorn (Jim Broadbent)."
5,9,The binding is really fragile  Harry Potter and the Half-Blood Prince,"It's a real shame that I could never give a film featuring Harry Potter the status of a perfect film. Each tale relies so heavily on those that came before or after that one can never be a truly all-encompassing work. Sure, the three-act structure can be utilized, but without the background info, nor the knowledge that more will be coming, watching a middle installment alone will leave you confused and disorientated. The reason I bring this up is the fact that Harry Potter and the Half-Blood Prince is good enough to warrant the praise and to put the idea in my head about whether to call it a masterpiece. The tone is perfect, the laughs are many, the darkness is charcoal black—how could this be the same director as the abysmal—in comparison to the rest of the series—Order of the Phoenix, David Yates? Two words  Bruno Delbonnel."
6,9,Reaches neither the depth nor the complexity of the book but still pretty damn impressive,"HP6 is a dark and emotionally thrilling masterpiece. It combines magical awes that appeal mostly to children as well as mature and dark themes that appeal to almost everyone. It discovers the dark and mysterious past of you-know-who and leaves the audience aching for more as its two and half hours run time go by in a flash. The film contains dazzling visuals and terrific cinematography. It is indeed a satisfying experience that will please just about everyone. One thing is for certain though: in resemblance to the Rowling novels, the film series seems to get darker and more mature with every passing film while keeping an incredible PG rating (in the exception of HP4 & 5). This film not only has some bangs and booms but also explores the theme of teenage love as the three protagonists find themselves tangled in teenage romances. Overall a top notch film worth seeing over and over. Cant wait for the arrival of the Deathly Hallows."
7,7,It's Love Potions That Are Most In Demand,Harry Potter And The Half Blood Prince sets a couple of milestones in the film series. Harry and sidekicks Hermione and Ron are coming a bit late into puberty which is understandable considering all the adventures they've had. But they're now starting to see what the opposite sex is all about.
8,3,"Harry Potter and the Half-Blood Prince, or Ron Weasley and the Half-A**ed Romance?",Oh god.
9,5,The weakest film in the series,"This movie proves the Harry Potter world has become pretentious. The filmmakers are so concentrated on showing off their special effects, getting cool shots or displaying the sets that they forget to actually tie scenes together, tell the story and, at times, make sense. Plus, they cut out important elements of the book so they can make more room for the never-ending romantic subplot and they even add in pointless scenes that were never in the book! This is the weakest film of the series."
10,9,"So far, the best of the Harry Potter films!","I think people are forgetting that the book is a very complicated one to transcribe to screen, but the film, bearing in mind that it changed the overall structure of the book, missed some very dramatic scenes out, and characters like Rufus Scrimgeur and Rosmerta were left out entirely is definitely the best of the Harry Potter films. The climax was good, but compared to the book's climax, which was much more intense, I felt it could have had more action, and perhaps more explanation. Visually, it is a marvel to look at, especially with the Cave Scene with the dark brooding cinematography and the splendid special effects. But somehow Steve Kloves managed to not only make some genuine scares, namely when the arm of one of those grey creatures comes out the water and grabs Harry, (this made me jump violently) but there were some really funny bits. Like when a student is sick in front of Snape, Snape says ""you have just earned yourself a month's worth of detentions"", and Ron and Lavender's romance. My favourite has to be Harry and Ron's hilarious conversation about girls' skin, and when Dumbledore is seen holding a Woman's Own magazine! Not to mention, Luna's dress in one scene, what was she wearing? I am just wondering though, whether I was the only one who wept buckets at the end, sorry, seeing Harry crying over Dumbledore's body and everyone staring on helplessly, just started me off on an emotional drainage. Back to the film, the music was beautiful and very haunting as well as noticeably darker in tone to the scores by John Williams and Patrick Doyle, and there was some splendid looking scenery. The acting was excellent, Daniel Radcliffe is likable as Harry, Rupert Grint hilarious as Ron and Emma Watson giving her best performance as the character. Robbie Coltrane was good, but it is a shame he didn't get that much screen time. I never cared much for Michael Gambon as Dumbledore, Richard Harris was more my idea of the character, but Gambon like Watson gives his best performance (as the character that is). Alan Rickman and Maggie Smith were solid as rocks in their roles as Snape and McGonagall, and Tom Felton was remarkably good as Malfoy. Helena Bonham Carter was brilliant as Bellatrix, nobody could play her better. But for me, the scene stealer was Jim Broadbent as Slughorn, maybe not what Rowling intended in terms of figure, but the the performance is wonderfully electric. The direction was competent, overall, the film is no masterpiece, but it is the best of the series, so I thoroughly recommend it. 9/10 Bethany Cox."
11,9,"Dark, funny, and not weighed down by too much exposition.","Harry Potter and the Half Blood Prince - A footnote: Funny thing about Harry Potter reviews. If you peruse enough of them, you'll notice that ""lack of nit-picks"" is a substitute for praise. Everyone comes from different points of view when they go in to see these films. Some people read the books, some haven't. Everyone has their favorites, or hates the films in general. I have never experienced the films without having read the books first so I cannot comment on how hard it is to follow any of them. For some they are too long, for some not enough. I have enjoyed all of the films to varying degrees all for different reasons. David Yates continues from where he left Order of the Phoenix, arguably the weakest of the seven books but one of the stronger films."
12,7,Are you freaking kidding me!!?,"I have been counting down the days since they moved this movie from its original release date. As the characters have grown older, the story line gets better, and I was hoping the same would go for the sixth movie. However, I am still completely confused about the decisions made for this movie. The movie is two and a half hours of ridiculousness. Yes, it has fantastic effects, and humor about the raging hormones, but who cares if the integrity of the story is completely diminished. Let's make a list of everything they cut out:"
13,9,A Great HP Movie!,"This Harry Potter movie is really well done. Instead of action, this movie focuses more on the drama and romance, definitely the romance. Because there is limited action, the filmmakers had to add additional scenes which everyone say it didn't happen in the novel(True, it didn't). Also, the movie tended to be a little on the boring side."
14,1,"To say I was disappointed is an understatement, Half Blood Prince is among the weakest in the series.",SPOILERS AHEAD
15,9,Far and away the best in the series,"Harry Potter. The name alone induces screams across the world, and may make movie theater managers such as myself fall on the ground when the prints arrive in the building. Just because I did get to watch it early does not mean I didn't do my share of waiting around the theater. More than 7 hours after I got off work, I was still at the theater and ready to watch what I had been waiting for ever since the wonderful 'Order of the Phoenix' two glorious years ago. Not only was 'Half Blood Prince' my favorite book in the series, it was also one of my favorite books of all time. My expectations could not have been higher, possibly the highest for any movie I'd ever had."
16,2,A major disappointment,"As an avid reader of the HP book series, and a devout HP movie fan, the sixth installment came up short in almost every aspect of the film."
