,Rating,Review,Sentiment
0,8.0,"""Cars didn't ride on it to make great time; they rode on it to have a great time."" ",1
1,8.0,"Pixar again shows us their superior skills in 3D animation and to a lesser extent this time, the storytelling. There is so much attention to detail, that you are left gazing at the screen in awe. The 2 hours races by, and afterwards you are left with the satisfaction of having just seen something quite unique and surreal.",1
2,9.0,"This is EASILY the movie I've watched most in my life. Back when I was young, I would have this on repeat. My parents said I used to HAVE to watch this movie every day for a certain period of time or I would get mad. Well, until now, I hadn't seen it in like 6 years until now. It was just as I remember, and extremely nostalgic. I can't be bothered to wonder why this movie gets the hate that it does. In fact, it's one of the best Pixar films. Idk if the nostalgia is blinding me, but for me this was (so far) one of the better Pixar films. A great character arc for Lightning McQueen, an amazing redemption for Radiator Springs, just a magical movie. I will forever hold this movie close to me and never let go. Imo, this is one of THE movies.",1
3,8.0,"There's really nothing wrong with this; it fits the mold as a smart kid's movie with enough subtle nudges and winks to keep the adults happy, a formula that Pixar has mined extremely well over the past decade and a half. It's even got that one weighty central topic, the moment the entire picture balances upon, when the collective audience presumably takes a sharp breath of air and has some sort of mini-epiphany in connecting it to their own lives. The major pieces are all there, truly, so why didn't I find this picture as rewarding as the rest of the animation house's legendary catalog? It's got something to do with the moments in-between. Usually, it's precisely those instants off the beaten path that Pixar absolutely swallows up, enveloping the screen with tiny jokes, dazzling visual wizardry and deep, circumstantial character development. In Cars, for whatever reason, the power in such moments is lacking. The studio goes through the motions, which makes for a more-than-decent facsimile, but in the end it doesn't feel as complete and engaging as their other masterworks. I would've loved it as a kid, and plan to share it with mine some day, but as an adult I'd rather throw in Toy Story or The Incredibles.",1
4,9.0,"People do have their own opinions but there is one thing I came across with, why do some people don't like this movie? I've seen when it came out in 2006 and loved it and I think its better then its sequel, in my opinion. Is because of the world of talking cars? Disney has created many films were animals talk, look at the Mickey Mouse cartoons, there is no people in there world, minus the ones during the early years of Disney. ",1
5,10.0,"Wow, this was fantastic! As I was watching it, I asked myself, ""Is this the best animated movie I've ever seen?' I think the answer is ""yes.""",1
6,8.0,"As usual, you've gotta hand it to Pixar.",0
7,10.0,"I saw this film on May 31st, 2006 in Indianapolis. I am one of the judges for the Heartland Film Festival's Truly Moving Picture Award. A Truly Moving Picture ""explores the human journey by artistically expressing hope and respect for the positive values of life."" Heartland gave that award to this film.",1
8,10.0,"upon entering the theater I wasn't expecting anything wow and big from pixar since the last few movies they made really didn't hit it off with me. But I Love ""Cars""!! its the best movie that pixar has created in a long long time. Not since the early days of ""Toy Story"" have I enjoyed a Pixar movie so much that I wanted to write a comment about it. This movie is fantastic! It has everything you could ever want in a movie plus a whole lot more. The team over at Pixar really went over and beyond with this movie and all that hard work really shows.although the gags references and storyline are more for the adults than the kids, I still would recommend this movie to absolutely everybody. 10++++",1
9,7.0,"I found this movie to be enjoyable enough: Even when it is true that it wasn't at the same level than some of previous Pixar films (Such as ""Toy Story"" and ""The Incredibles"") it was a good film anyway, with an entertaining story and likable characters.",1
10,10.0,But WHY is it great?,1
11,10.0,"I think if this film was released today it would have done better with the critics. It didn't do badly in 2006 but there was a lot of people complaining that it was Pixar's first flawed film and that it was a little bet too rote. That was my original impression as well. The film plays like a family version of Doc Hollywood mixed with a sports coming of age story. What the story is doing is rather basic, conventional but it does it do it well. The animation is very beautiful and the film really captures American Car culture c. 1955 and Old Route 66. The characters are a collection of stock characters-Mater is a hick, Fillmore a hippie, etc.-but they are fully realized stock characters with a perfect voice cast. I can understand why someone would be rather cool on the film. I was back in 2006.",1
12,8.0,"Pixar just keeps hitting them out of the park. Larry the cable guy was a great cast as Mater. Owen Wilson as Lightining was another great decision for the makers of Cars. There is never a dull moment while watching this film. I guess that is obvious by the overwhelming success at the box office. Working at a movie theater I get to see the reactions of our patrons after seeing each film we show; Cars is a must see this summer. There are very few genuine family movies released now a days, this is a clean movie that families can come together and enjoy without worrying about having to screen the film before bringing the kids. I recommend everyone go see this film and then go see it again.",1
13,10.0,I had my doubts. I knew that Pixar would fail this time around. No way were they going to pull this off for a seventh time.,1
14,,"I read a write-up about Cars several months ago, so I was vaguely aware of it when a friend suggested we go see it today. I had no idea where the plot would lead, but figured a Pixar film was a good bet.",1
15,10.0,"Being a petrolhead, this pixar movie is perfect. Is emotional, is about enjoy the ride and at the same time about nascar. Yes, car people will like more.",1
16,8.0,"Still the first one is the best to watch. I have seen it several times. Every time I go to Little Cano to change the tires quickly, the maintenance team next door is all shocked. Then McQueen gives up the championship and pushes the car king. I was in tears! There are always more important things in life than fame and fortune. Good emotions are the most worthwhile things to spread and flood. I hope the world can always have love like this ~ really good ~",1
17,,"I'm a man (71). I took my son (40) and my granddaughter (10) to see ""Cars"". It was wonderful exciting entertainment for all our ages. I grew up with the old cars and have traveled Route 66 a few times so I was able to relate to the story and talk about the old times after the movie with the younger kids. My son and his daughter love NASCAR so they got a lot from the movie. The scenery though computer modified and generated was beautiful and true to the area portrayed. There is so much going on that this is one movie I want to see again. I have more grandkids, I think I'll have a valid excuse to go once more. Please!, if you see this movie remain seated until the very end of the credits, you are in for a treat.",1
18,9.0,"I thought the story looked very lame from previews, and the concept didn't appeal to me. But when I saw an early screening I was surprised, it was well written and well executed. They didn't overload the movie with automotive jokes, which I think would have hurt the story and character development. Owen Wilson's voice is great for his role. Overall, it's on par with other Pixar films, even if it may not be their best so far. The animation is superb, definitely the best they've done. Giving something like cars distinct personality and characterization seems like it would be pretty tough, and they do a great job with it. See this movie the day it opens.",1
19,8.0,"Lightning McQueen is an arrogant rookie race car and his main goal is to win the Piston Cup Championship, were he could have fame, fortune, and a new sponsorship in Dinoco. Being one of the three favorites and on the way to the decisive race in Los Angeles,McQueen gets lost in his way and ends up in Radiator Springs, a very small and lost city. As he destroyed many things from the city, included the road, he is sentenced to community service by Doc Hudson, the local judge. Needing to repair the road and with few days available until the decisive race, McQueen will need to do his best. But during his time in the city, he will know better the other habitants and learn very important life lessons.",1
20,8.0,"While traveling to California for the dispute of the final race of the Piston Cup against The King and Chick Hicks, the famous Lightning McQueen accidentally damages the road of the small town Radiator Springs and is sentenced to repair it. Lightning McQueen has to work hard and finds friendship and love in the simple locals, changing its values during his stay in the small town and becoming a true winner.",1
21,9.0,But WHY is it great?,1
22,7.0,"Originally published on June 6, 2006.",0
23,10.0,"When I first heard about ""Cars"" I wasn't too anxious to see it because I'm not a Nascar fan at all, and I thought the movie was just going to be all about car racing.",1
24,8.0,"I, like most fans of Pixar studios, felt my heart sink when I saw the first preview for ""Cars"" when it ran in front of ""The Incredibles"" in 2004. There had been previews of other Pixar movies that left me underwhelmed, but this was the first one that looked...well...bad. The constant shots of racing cars, the frenzied editing, the apparent belief that the phrase ""dadgum"" was funny in and of itself...it just looked like Pixar had come up with their first stinker. I am so glad, no...ecstatic, to say my first instincts were wrong. ""Cars"" has every bit of the Pixar spirit at its core.",0
25,8.0,"Animated films are not my favorite genre and I am not a Nascar fan. I anticipated that I would reflect on the 2 hours in a movie theater as quality family time rather than quality entertainment but this movie had me hooked from the beginning. My kids did not have my background to understand Route 66 history but they didn't need it. The loved the film for other reasons. I lived in small towns where a day is fueled with hope of what might come over the horizon. I have actually been cow tipping and laughed at the tractor scenes. I really appreciate the part of the theme of a successful member of a younger generation listening to and profiting by the wisdom of someone older. Far too many children's shows revolve around a plot with stupid adults and the youth needing to save the world. This film perhaps restored, for me, a little faith in our entertainment industry. This is one movie the whole family really can enjoy. See this movie if for no other reason than to support the production of this type of message.",1
26,6.0,"when Pixar announced their idea for ""Cars"" (a world exactly like our own but inhabited by living cars instead of humans), I thought that the film was going to be an instant failure. Then, as the images of the new graphics and the plot outlines started to came out I was still unimpressed by them, seeing at how unoriginal the plot was and how everything seemed to be aiming for showing off their technical progress, my hopes for ""Cars"" were really low. I guess that's why I ended up liking it so much.",0
27,10.0,"This movie is truly another hit from PIXAR. It's wonderful story, charming characters, and great animation for it's time brings this movie to be just as creative as PIXAR's First Movie Toy Story. Who knew in 11 years from then, we would get this remarkable computer-animated classic. Thank you PIXAR for giving us the true action-adventure thrilling feel of Cars. Still awesome to this day. PIXAR Scale: 10/10",1
28,5.0,"As Pixar, Blue Sky and DreamWorks continue to tick off the list of cute cuddly animals to make films about, director John Lasseter and Joe Ranft (the latter sadly and ironically died in a car crash last year) brings us a story about cars in incongruous human setting. Nine years of hard work in combining Lasseter's two great interests, cars and animation, finally gives us a satisfying end product but regrettably 'Cars' is just that. Satisfactory and utterly charmless.",1
29,8.0,"This is an amusing film about cars. That cars are the subject and main ingredient is to say that icing on a cake is mere frosting. This is Disney's tribute to racing legends, enthusiasts, pit crews and aficionados animated to instill human viewers with worthy traits about living, learning and competing in and out of the fast lane. Within the speedy story is a moral obligation about achievements, success, honor and respect in general. How one is treated and vice versa, how we treat others, even if we are made of metal. Each of the autos in the film ""CARS"" has a unique identity and is brought to life by a plethora of legendary voices. Consider for example names like Paul Newman as 'Doc Hudson', Michael Keaton as 'Chick Hicks', Cheech Marin as 'Ramone' and Jay Leno as 'Jay Limo' lines the star studded film with superb talent. Added to them are legendary racing names like, Dale Earnhardt Jr, and Richard Petty and of course Owen Wilson as the voice of Lightening McQueen. The result is nothing short of a fabulous tale, creating an endearing worthwhile film for the entire family. ****",1
