,Rating,Review,Sentiment
0,,"Take it from me, this movie is brilliant. Don't go by it's silly child-pandering name, this film is for everybody. From little kids just looking for some simple fun for a little while to adults looking for a more compelling experience that makes you feel for the characters, this one's for everyone. Funny action adventure with some wise words scattered throughout.",1
1,,"'Kung Fu Panda' is another delightfully entertaining flick to come out this summer. Osbourne and Stevenson do a fine job in directing. What I really liked about the film is the sincere effort behind it and its lack of pretension and use of clichés. The directors stay focused on the main story which is Po's struggle. I could really relate to Po's dream and love for Kung Fu and his disappointment and lack of faith in failing to be successful in doing what he loves. The stellar voice cast that includes names like Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Jackie Chan, Lucy Liu, David Cross and Randall Duk Kim is impressive but it is Jack Black's show all the way, followed by Dustin Hoffman. Black's comic timing is wonderful as he provides some of the very memorable laugh-out-loud moments and he brilliantly succeeds in making Po both endearing and funny. I would never have guessed that Hoffman was behind the voicing of Shifu. The actor does an excellent job. I wish Jackie Chan had more lines. The music and CGI are good enough. There's a lot of energy. It's colourful and very appealing to the eyes and it's funny as hell. What's not to love? In my opinion, 'Kung Fu Panda' is a winner with both adults and kids.",1
2,8.0,"(Synopsis) Kung Fu Panda is the story of Po, (voice Jack Black), a sweet, but clumsy Panda who has dreams of fighting with the legendary Furious Five and protecting the city against all threats. The only problem is that Po has no real life experience of kung fu, and his real job is serving noodles at his dad's noodles shop. News of selecting the Dragon Warrior is sent out from the Jade Temple, and the whole city along with Po, go to the celebration. The competition is between the Furious Five: Tigress (voice Angelina Jolie), Viper (voice Lucy Liu), Crane (voice David Cross), Monkey (voice Jackie Chan), and Mantis (voice Seth Rogen). Po accidentally enters the contest and is named the Dragon Warrior. Master Shifu (voice Dustin Hoffman) must find a way to train Po and make him a Kung Fu Master, especially, after they learn that the snow leopard, Tai Lung (voice Ian McShane), is headed their way.",1
3,7.0,"In China, the big, fat and clumsy Panda Po is a great fan of martial arts and worships The Furious Five - Tigress, Crane, Mantis, Viper and Monkey – and their Master Shifu. He works in the restaurant of his father specialized in noodles, but he dreams on being a kung fu hero. When Master Oogway summons the population to announce who would be The Dragon Warrior, he surprisingly points out to the slacker Po, frustrating the expectations of Master Shifu and Tigress. Po joins the academy of Master Shifu that does not believe that Po might be The Dragon Warrior. Meanwhile the evil Tai Lung breaks out the high-security prison where he has been arrested for twenty years and heads to the temple of Oogway, expecting to get the Dragon Scroll and becomes more powerful. The Furious Five tries to intercept Tai Lung, but they are defeated. Now the only chance to stop Tai Lung is the glutton Po.",1
4,8.0,"I hadn't got around to watching this film but as I'd heard good things about it I thought I'd check it out when it was on television. Initially I wasn't sure I'd enjoy it as I'm not really into 'talking animal' films; soon I was ignoring that and enjoying the humour and the story. The story itself is hardly new but tat didn't stop it being entertaining. Po is a panda who dreams of becoming a kung fu warrior fighting alongside the greatest warriors in China; unfortunately for him however he seems destined to become a noodle chef! One day the local kung fu master Oogway prophesied that a dangerous former student is going to escape from prison and return to seek his vengeance and steal the scroll that will make him the legendary Dragon Warrior. Oogway decides that he must find a new Dragon Warrior first; to this end he gathers everybody together to appoint the new warrior. Po is desperate to see the ceremony and in his efforts to see finds himself at the centre of the ceremony and being selected himself. Not surprisingly the five greatest warriors and their trainer are not impressed that a fat panda has been selected over them. When their enemy does indeed escape they head off to meet him while master Shifu attempts to train him. As is the way with such films Po finds that he has hidden depths and learns kung fu, the only question is will he learn the secret of the scroll and defeat the dangerous Tai Lung.",1
5,10.0,"After various 3D animated movies ranging from lacklustre ""star"" movies (""Madagascar""), boring tripe (""Shark Tale"", ""Bee Movie""), and over-rated, over-hyped overkill (""Shrek""), Dreamworks can finally be proud of a truly great film. (Sidebar: I actually enjoyed ""Flushed Away"" and ""Over The Hedge"".) First, the bad. If I could complain about ANYTHING it may be a few of the voices. Besides Po, Shifu and Oogway, the rest of the cast seemed pretty 'phoned-in'. Thankfully, those characters are pretty inconsequential so they're not really missed.",0
6,9.0,"Like many others, I saw the ""trailers"" featuring Jack Black. The featurette made me think ""Okay, at least I got to check this out"". Not much more. It didn't make me think ""This is gonna be awesome"" or anything like that.",1
7,10.0,"I really wasn't expecting much, other than a few laughs, which would have been OK for a Dreamworks animation movie. But KUNG FU PANDA exceeded all expectations. The story is simple but the execution is superb. It would be really difficult to find something to improve on the production. The voice-overs are really good, esp Jack Black and Dustin Hoffman. The animation is very rich and the colors are crisp and bright. The action sequences are breath-taking. The laughs are mixed in at the appropriate moments. The theater was full and it was composed of a mixture of Adults and young kids. This is a fun for all movie. A testament to this fact is that almost the whole crowd stayed for the end credits. This is a very rare occurrence nowadays.\",1
8,10.0,"I LOVED this movie!!!! I even daresay that this is the best animated motion picture I have seen since ""Cars"" two years ago. Although the whole story of an underdog turned champion is admittedly an oft-told retread, the treatment is original and amazing and very engaging, and not corny (unlike a lot of the recent animated films). I cannot stop singing praises to this one. The artwork of the whole movie is fantastically rendered, no exquisite detail was spared in the scenery, the architecture and of course, the lead animal characters.",1
9,10.0,"From the very beginning, Kung Fu Panda had me practically falling out of my seat --- laughing. It was the perfect blend of comedy, heart, and action, all necessary elements in a successful and great animation/CGI film, in the tradition of The Incredibles and (less action, but containing the heart and laughter) Ratatouille, Finding Nemo and Monsters, Inc.",1
