,Rating,Review_Title,Review
0,8,Very underrated,"I'm actually shocked by how low the ratings are for this movie. I thought it was the best Cars film and a pretty solid film in general. It follows Lightning McQueen in a completely different role, that of the aging star who is out of touch with the times. It is heartbreaking, it is dramatic and it is compelling. I never knew I could feel so sorry and yet so hopeful for such a has-been."
1,8,Solid conclusion to Cars Trilogy!,"Way better than I expected. After being slightly disappointed by Cars 2, this was a pretty good return to form for the Cars franchise. I thought it definitely could've been much better, though. A lot of the scenes were unneeded and once again, did not have the magic the first one has. But somehow, it still finds its way and manages to be a formidable sequel and satisfying conclusion to the trilogy. Although, was it really the conclusion? It seems like they could do another, but they just don't make enough money. Hopefully we'll see a fourth that just completely blows people away. Other than that, I don't have much else to say, pretty forgettable but still pretty funny and entertaining."
2,7,An improvement over Cars 2,"While another sequel to Cars was still not needed, Cars 3 is at least closer to the quality of the original. With more of a focus on Lightning McQueen and his internal struggle, the story has a lot more depth than Cars 2. The story isn't original by any means, but it's told in an interesting way and is a pretty fun watch."
3,8,Thats a ending!,"Yes! Love this ending of cars! 1 and 3 are the best, 2 more for fun. I enjoyed this movie a lot! Just for a fun night"
4,8,Ignore all the bad reviews! This was a good movie.,** Possible Spoilers **
5,4,Good enough,"Cars 3 is not like the rest of the Cars movies, though it tries recapture some glory from the first movie. Didn't mind the new characters, they were interesting in their own way. However, it would have been good to also have some of the old characters in there as well, and not just at the beginning and at the end. Other than that, the story is okay, with some action (though, they could have added some more) and a great twist in the end, that, at least, helped pull the movie out of the cliché pit. Finally, the special effects were nice, with the cars almost looking like real ones, especially at certain scenes, where even the scenery looked real. So, overall, 4 out of 10."
6,3,Shocking Ending...and not in a good way.,"In this one, Lighting struggles to keep up with the new young techno cars on the circuit and has to go find his racing mojo. Along the way he meets a young racing car who is ironically his trainer, as it turns out she is the one who needs the training from Lighting. Lighting teaches her his techniques whilst trying to improve himself."
7,3,One of Pixars worst films and lacked in story and humor.,"Cars 3 was not my highly anticipated Pixar film since the second movie was just pure boredom. And this series has been running downhill and can never match the first movie which was cute and fun. This third film fails and bites the dust on the track with its sequel problems in lacking a creative plot, fun humor, the characters are no longer fun, and it was quite boring as well. "
8,4,"Never really got into gear, the 'Cars' franchise has run out of gas","Am a big Pixar fan, feature films and short films. As far as feature films go, the 'Toy Story' franchise, 'Inside Out', 'Up' and 'Wall-E' were particularly fantastic, while 'Presto', 'One Man Band', 'Geri's Game' and 'Piper' were particularly great short films."
9,9,Speed with heart,"#Cars3 is speed with heart. It's fun, exciting and emotionally endearing. The first film was about a lost small town USA and the humbling of a cocky racer. The second movie didn't quite know what it wanted to be, part espionage, part mistaken identity, part global tournament, all wrapped up in a poor attempt to address friendship. But this third installment is about the racer becoming the mentor while at the same time honoring the legacy of a very important person in McQueen's life, Hudson Hornet, who's voiced by the the late great actor whom we cinema deeply miss seeing on screen, Paul Newman."
10,7,"entertaining, moving, has a good moral for children, and a quantum leap up from Cars 2","Aside from what should be obvious to most of those who are over the age of 5 - merchandising, merchandising! I can hear Yogurt from Spaceballs say (which this movie does try to sort of, kind of, almost satirize but doesn't quite get there, and I'll get to that later) - I wondered going in why Pixar would make Cars 3. The first Cars, one of those unlikely passion projects for John Lasseter, was fine though not remarkable unless one didn't mind getting their Paul Newman fix (last movie too!) if it meant wading through the ""comedy"" of Larry the Cable Guy, and the sequel was one of the most mediocre films of the past decade, from anywhere (again, Larry the Cable Guy as the protagonist). But then I thought that this was exactly why it would be interesting to see the movie - what would the Pixar creative team come up on this one. What they came up with was a good movie, no more but no less either."
11,2,An uninspired borefest,"I am one of those guys who actually liked the first Cars film. That one had a soul. Then came the second installment, which was even better - one of those rare sequels that did not feel forced or redundant."
12,7,Good Sequel! Better than the Cars 2,The first Cars movie was awesome and it jumpstarted a lot of rip-offs tv shows for children. talking cars or talking planes everywhere nowadays... cars was the origin and of course there have been two sequels to that movie. while the first sequel felt forced onto the franchise this one here fits perfectly. a great continuation about how his career would develop over the years. he's not a rookie any more... he's not as fast as he used to be... he needs to find out how to solve this... the hints about where the story goes are subtle and reach the right conclusion in the end. and its feels like this might also be the final movie for the franchise but who knows...<br /><br />it a solid 7. if you loved the first one you will love this one as well
13,2,Why,"Even my son was asking throughout then entire 1 hour middle portion of the movie , ""why aren't they racing, is he gonna race Jackson storm ..."". I just kept saying yeah son eventually. Then it's the female that ends up racing in the end and my 5 year old son experience his first episode of disappointment and fraud. How do you explain to a 5 year old that it's politics and the moral of the story is no longer innocent heroic comebacks but now it's about equal opportunity and forcing ideas on young minds. Kids just want to see a good , animated race movie AS ADVERTISED!!! Instead it's 10 minutes of racing, and an hour and a half of training and build up that leaves you asking yourself... did this have to be nearly two hours long?! Garbage"
14,1,Awful!,"Review:<br /><br />What an awful movie! I'm not a big fan of the previous movies, so I was hoping that Pixar would have put some more effort into this one but it was just as bad as the rest. I know that it was made for a young audience but they could have included something content for the adults. The animation was also average, and none of the new characters were that great. Anyway, in this movie Lightning McQueen is finding it tough to challenge the new generation of cars, so he leaves the race track for a while, and he seeks help from an eager young female, Cruz Ramirez, who has a unique, and somewhat brutal method of training. McQueen finds it hard to adapt to her methods, and he shows her the beauty of racing, which was put behind her due to her training. Together they finally build up the courage to challenge the big stars of the race track, and they use some of his old tricks, which made McQueen a star. Boring! Boring! Boring! This is definitely one of those films were the merchandise is much better than the actual movie. With such a top form back catalog, I'm surprised that Pixar spent the time to make a 3rd movie, because there isn't that much that you can do with talking racing cars. Anyway, I'm sure the little one's will love to see these much loved characters back on the big screen but I personally couldn't stand the movie. Rubbish!"
15,10,Loved this!,I absolutely loved this film from start to finish. Actually I loved the movie first part when Lightning is blindsided by new generation of race cars and the music during that part is nice too. I loved Lightning crashing scene as finally he learns his lesson of being too proud of himself. But the middle part is like the first film very boring and I actually almost fell asleep. So if there is a Cars 4 please make the middle part more exciting. But overall way better than Cars and Cars 2.
16,5,Lost focus,*** This movie is both politically correct and sexist. This is common with most movies today ***
