,Rating,Review_Title,Review
0,9,My Favorite Of The Harry Potter Films,"I thought this was excellent....better than the first two Harry Potter movies combined and better than what has followed.. That's my feeling, and I'm still sticking to it."
1,8,"Finally, a movie that captures the books' magic","If there's anything this movie proves, it is the difficulty in separating the series from the demands of fans. This is clear just from hearing some of the comments. ""Why didn't they identify the names on the Marauder's Map?"" ""Why wasn't the second Quidditch game shown?"" ""Why wasn't there more of Crookshanks the Cat?"" By focusing on what the film didn't have, fans fail to look at the film on its own terms. I think this is by far the best Harry Potter movie yet."
2,10,Best Film of the Series; One of the Best Films of All Time,"I wish Alfonso Cuaron would come back to the franchise. I know that he probably won't, but I still hope. After all, as we float through this empty, depressing world, sometimes all we have is hope. He detached this film franchise from its safe-as-a-CIA-file roots and allowed it to grow wings and fly into a silver ether. To anyone who thinks franchise films cannot be art... check out LOTR. But once you are done, check out this film. It is both ironic and darkly appropriate that this is both the lowest grossing Harry Potter film and the one that many film critic types, such as myself, say is the greatest of the octology."
3,9,Darkest and best one yet,"This is the third movie in the franchise, and it's the darkest one yet. We're introduced to Dementors, vile creatures who are tasked to guard the prison of Azkaban. When Voldemort disciple Sirius Black escapes, Dementors are assigned to guard Hogwarts putting Harry and his friends in danger."
4,9,Best of the Harry Potter film series,"The third HARRY POTTER film (still gotta get round to reading the books) and definitely a step in a different direction, with more unpredictable narrative – thank god Harry doesn't have to fight a clichéd monster at the end – and better direction by Mexican Alfonso Cuaron, who makes it look darker, gloomier and more magical. It's just as great as the last two (if not better – I think this is my favourite of the three) and despite the over-lengthy running time, the interest doesn't let up. "
5,10,last of the really sweet episodes..,.. and near perfect film making.
6,8,A visual feast with bite,"Harry Potter is growing up! The voice is deepening, the shoulders are broadening and...hurray! You no longer feel like a creep for having a little crush on Daniel Radcliffe...whoops, did I say that out loud? Say what you will, I see him making the jump from child star to adult actor in a way that Haley Joel Osment only dreams of."
7,10,Abstract and dark themes abound; still the most mature HP entry,"Alfonso Cuarón's masterful adaptation does the source material immeasurable justice by exploring its underlying concepts in an intelligent manner. Of course, it certainly helps that the aesthetics of the film are incredible, the acting remains stellar (and the trio of young actors handle their roles admirably), and John Williams offers an amazing (and eclectic) score. Character development is superb - Steve Kloves penned a great script."
8,8,The best of the Harry Potter films so far,"This third Harry Potter film is the best one yet. Director Alphonso Cuaron (Y Tu Mama Tambien, A Little Princess) has taken over from Chris Columbus and has stuck less slavishly to the original JK Rowling Books."
9,10,Directing and screenwriter stand out in perfection,"Everyone's favorite of the Harry Potter movies is the first one, right? A close second place for me and my family is the third installment: Harry Potter and the Prisoner of Azkaban. Not only is the story very interesting, fast-paced, and full of mysterious twists, but director Alfonso Cuaron turns ordinary exposition shots into works of art. After seeing the same castle and sets the past two movies, it's intriguing to see them filmed differently. It reminds you to pay attention to details as well as the big picture, and it subtly tells you that you'll need to see the movie at least twice to understand its full potential. There's a famous transition he films through the clock tower that's continually gorgeous no matter how many times you've seen it."
