,Rating,Review_Title,Review
0,7,Not as good as the previous movies but still solid,"There are two main things that happen in this film. One is the return of Po's father. The other is the bull-like creature, Kai, swinging his luminous daggers around and stealing people's chi. In terms of storyline it's simple, but all over the place at the same time. Kai is on his way to steal the chi of Po and the others to become even more powerful than he already is. After Po is reunited with his father, it is made clear to him that that only a chi master can defeat Kai; so Po must journey to the secret panda village in order to master chi before Kai comes to get him. It turns out Pandas were historically chi masters Eventually Kai finds where Po is and there's a battle."
1,8,awesomeness achieved,"Kung fu panda is a concept so ridiculous that we think to ourselves.. it is actually genius. Jack Black returns as the lovable Po, and shows us just why we missed him so much in the years we had to wait. These films always deal with acceptance and Kung Fu Panda 3 is no exception, with an added family element. I give praise for this for the simple reason that Bryan Cranston is AWESOME and really stands out in a movie that already has some brilliant stars, he was so funny and heartwarming as Po's biological father and makes a welcome addition to the cast."
2,6,From complexity to oversimplification: the journey is complete,"As a certain character once said, a James Bond movie is only as good as the villain. The same rule actually applies to just about any story with some kind of confrontation, with the best of such stories having villains which you even want to relate to."
3,10,A worthy inclusion to the series.,"While not really outdoing the first two films, Kung Fu Panda 3 has all the trappings of a fine third entry in an acclaimed film franchise. Some of the humor feels sillier compared to the prequels, but eventually gets better as the conflict is developed. The film is fast-paced and gripping as it delivers a successful blend of action and comedy, served with heartfelt father-son moments that continue to warm my heart. It also doesn't eschew the philosophy or the magical score that aided the first two films in a great way."
4,8,Kung Fu Panda 3 takes it's next step in another beautiful and funny story about the martial arts,"Time to go back into the world of DreamWorks animation. I had read more information about the company's corporate shakeup that not only involved several people replace and relocated, but it also involved the closing of the Northern California studios and the reduction of the output of feature films. It seemed like a formidable movie fiscally, until the release of last year's Home, which I mentioned that I didn't care for. I guess I wasn't the only one as the critical reviews were tepid, and the box office numbers were low (not a failure, but not even close to a hit). Has DreamWorks truly learned?"
5,9,Just as awesome as the first two. Skadoosh!,"There's a reason why the ""Kung Fu Panda"" franchise is one of the most successful of all-time, and I'd like to believe that that reason is because the writers and the creative talents behind it know how to solidly move the story forward, even with the same characters, they know how to make them evolve without losing the charm and the heart that made the first and the second film effective."
6,10,A Quality Family Film For All Families.,"In the Chinese Spirit Realm, Grand Master Oogway (Randall Duk Kim) fights against the spirit warrior and collector Kai (J. K. Simmons) and has his chi stolen, but not before he warns Kai that Po (Jack Black), the Dragon Warrior, will stop him. Kai disregards this and returns to the mortal world. Meanwhile, Master Shifu (Dustin Hoffman) announces his retirement and passes the role of teacher to Po. He discovers that teaching kung fu is hard, as the Furious Five members Tigress (Angelina Jolie), Crane (David Cross), Mantis (Seth Rogen), Viper (Lucy Liu), and Monkey (Jackie Chan) are injured as a result. Po is demoralized as a teacher, but is advised by Master Shifu to be himself."
7,6,"Not bad, but not a grand installment or anything like that","Meh...It's alright but it's still the weakest in the trilogy in my opinion. The first one dealt with the build up of Po learning kung- fu and learning to become the Dragon Warrior. It's usually always intriguing to watch the underdog overcome obstacles. The second one dealt with Po putting his kung-fu skills to the test and is the most action packed one in the franchise so far. And revolved around getting over the past hurts and scars while trying to become a better person in the here and now. This one deals with Po finding his roots and origin. Like I said, it's a alright watch but it's actually quite forgettable. The action isn't all that memorable and the story just needed more meat to it. This would have been fine as a TV movie or 3 or 4 episodes as a Saturday morning show. It's a alright movie, that is actually quite watchable but I am not excited to see it again. The whole family dynamic aspect of this movie just wasn't all that fun to sit through. I give it props for trying something different and trying to bring in something more than just action. But I just couldn't gravitate towards it all that much."
8,,Fails To Replicate The Formula That Made Its Predecessors Instant Classics Right Away,"The third chapter in DreamWorks Animation's Kung Fu Panda series may have the effervescent wit, lighthearted flavour & exciting kung fu action of the earlier chapters but it lacks a compelling story, weighty character evolution & the awareness of where to draw the line for this latest entry fails to find the near-perfect balance between its genre elements, something its predecessors excelled at with relative ease."
9,10,Whoooaaaahhhh!!!!,"So being a huge fan of Kung Fu Panda, I may be a little biased, but Kung Fu Panda 3 delivers!!! I was so excited to the see the movie as I think this story line has some aspects of awesomeness!!! Jack Black leads and all star cast of actors that bring not only great animation, but also solid entertainment from start to finish. "
10,,So funny and amazing,"Not quite as good as Kung Fu Panda 2 since it does rehash some plot elements from Kung Fu Panda 2, but Kung Fu Panda 3 is still a solid entry in this kung fu fighting franchise."
11,8,Dragon Warrior Rising,This is my review of Kung-fu Panda 3 (Spoiler free)
12,8,Sublime animated picture.,The Good Stuff (in order of awesomeness) 
13,8,Funny and Gorgeously Animated,"Kung Fu Panda is yet another solid entry in the Kung Fu Panda film series. It should be noted that while it's subjective, my opinion is that Kung Fu Panda 3 is ever so slightly the weakest of the franchise, but that's not a knock on the film. Kung Fu Panda 3 is often funny, beautifully animated, and features great characters. This is another great animated film for the entire family, that will surely delight people of all ages."
14,7,"Not as good as the previous two films, still very colourful and entertaining","The first 'Kung Fu Panda' film is a solid film, colourful and fun with thrilling action and engaging characters. The second film is even better, darker and more emotional while never forgetting to be entertaining, with the best villain in the series."
15,9,Another great movie,"I went with my 14-year old son to watch Kung Fu Panda 3. We both loved it. It's definitely a feel-good movie. We've watched every Kung Fu Panda movie, and we are definitely fans. The cast is incredible! Jack Black is awesome as Po, as usual. We particularly enjoyed the music score (which nicely emphasized the emotional parts) and the artwork. I appreciated that there were morals woven into this movie, especially with regard to finding your true self, appreciation of what it means to be a family and the importance of family, and Po's learning about chi, the life force in all living things. This all added depth to Po's character. There were, of course, many funny moments in the movie that made us both laugh. At the end of the movie (and we always stay to the very end, reading all the credits), the artwork was particularly beautiful, where they took images from the movie and made it look like an ancient, Chinese watercolor. We left feeling very good about having spent time together at this movie!"
16,6,Bearable,"Kung Fu Panda 3 meets the minimum requirements in what fans of the first two films would expect: jokes about weight, Po's still struggling with handling Kung Fu (even though he became the ""dragon warrior"" at the end of the first film) and questions of how to determine what true family is. Sadly, the film itself lazily meets these expectations without providing much else for its fan base."
17,9,Feel the Thunder..again!,The third installment of the epic animated Kung fu Franchise is here.
18,3,Nothing more than a cash-in,"The third instalment of this animated franchise is by far the weakest. It lacks the fresh origin story of the original and well-developed expansion of the sequel to instead deliver a retread and mish-mash of previous themes and tropes. The action is broader, the villains more outlandishly supernatural, and sadly the silly humour is back and threatening to overwhelm. The ensemble cast remains fun, but the format is wearing thin by now and this feels like nothing more than a cash-in."
19,4,Kung Fu Panda 3,"Too many overweight panda jokes. Unlike the last two movies, they aren't funny."
