,Rating,Review_Title,Review
0,7,Ghost of a Movie. Nothing more than a sociopathic superficial cash grab,"This film really is nothing more than an Advertisement. I'll admit the first time I saw it at the movies I thought it was pretty good, and i watched it another two times with friends and family over the course of a month before it finally left theatres. "
1,8,Star Wars: The Force Awakens Review(re-upload),"Star Wars: The Force Awakens Is a newest chapter in the long running Space opera saga, taking place 30 years after the events of Return of the Jedi. We learn from the opening text crawl that in the absence of Luke Skywalker, the sinister First Order has risen into power led by the menacing Kylo Ren(Adam Driver), who is on the hunt for the last Jedi Knight Luke Skywalker. He is introduced into the film in an explosive sequence setting the tone for the remainder of the film. Driver brings a lot of raw emotion to the part of Ren, who's being tormented by his feelings, and lure to the Light and Dark side. During the opening scene Ren comes into contact with newcomer Poe Dameron(Oscar Issac) a rebel fighter pilot regarded as the best in the resistance. Who is handed a vital piece of information, that could lead to the whereabouts of Luke Skywalker, and thus sets off a chain of events bringing in old and new characters alike. Issac brings a-lot of likability as Poe to the film, and was reminiscent of Han Solo(Harrison Ford) In the original trilogy. Whilst on the Planet of Jakku we're introduced to Finn(John Boyega) a disillusioned stormtrooper, who wants out of the First Order. Boyega plays the part with a lot enthusiasm, and joy he brings a lot of laughs to the story whilst maintaining his own dramatic moments through out the story. He eventually comes into contact with a scavenger named Rey(Daisy Ridley) on the planet Jakku. Who struggles to make a living finding scraps/relics for food, she is also torn between waiting for her family to come back, and realising that her journey is much more then salvaging parts, when She crosses paths with Finn and a lovable new droid named BB8. After a thrilling escape from the First Order our heroes come across veterans of the original series Han Solo(Ford) and the Wookie Chewbacca(Peter Mayhew). Ford does a good job of tying the mythos of the original trilogy, and connecting us with the newcomers, without ever leaving old viewers feeling cold and new viewers guessing as too what is happening."
2,8,An Exciting Return to an Amazing Saga,"When I go to the movies, I aim to experience one thing: escapism. Even if it's for only two hours, I like to occasionally escape this often unfair world we all live in and lose myself in a fictional adventure. And I think I speak for both the young and the young at heart when I say that Star Wars has brought escapism to audiences all over the globe and for many generations over the past 40 years."
3,,The force is Average with this one!,"30 years have passed since the events of episode 6 (beware spoilers ahead), but this film spends virtually zero time establishing the background to what has happened before, and from the very get go of one mindless explosion to another, this is an action packed let- down, with very shallow character development, re-hashed action sequences stolen from episodes 5&6 (father-son confrontations/death star finale), poor comedy timings and poorer dialogue (Finn asking Ray if she has a boyfriend), and really awkward character introductions, such as that first superficial meeting between old flames Leia and Han - really? And what about the new death star: bigger, badder, but in fact much much tamer and stupider, with the very same weak spots as the old death star, which makes you wonder if human evolution in 30 years (where the dark side is concerned), is in genetic reverse. Like most of the film, soft spots like this just felt like generic, copied from, and dumbed down fan service without much thinking in way of originality, substance, and credibility, which is what real fans of Star Wars and fans of good films in general wanted for this incarnation."
4,9,The Triumphant Return of the Star Wars Saga,"In October of 2012, almost five years ago next month, there was an announcement made in regards to Star Wars. George Lucas, the visionary creator of the Star Wars universe, struck a deal with Disney where they would acquire Lucasfilm for around $4.05 billion and that there would be a new Star Wars movie set to be released in 2015. This brought an immense amount of joy and excitement to me as a life-long Star Wars fanatic! For the first time in over ten years, I would be able to see a new Star Wars film on the big screen! From late 2012-early 2013 to several days before it's December 2015 release, I read as many articles I could about pre-production, production, what the movie would actually be about, whether or not material from the Expanded Universe would be the basis for the next trilogy, etc. With that being said, here is my review of the first movie of the sequel trilogy, The Force Awakens. "
5,8,Not perfect but an excellent starter for a future wider scope of the Star Wars Universe,Well first thing is its a whole lot of fun !! 
6,10,......TEN,A fantastic addition to the Star Wars series!
7,8,An exhilarating continuation of the Star Wars saga and an homage to what made it special in the first place.,"If there's any movie you should see in theaters, The Force Awakens is it. From the first frame you're sucked right back into the Star Wars universe, and that's probably the best part of the movie - it feels genuinely like Star Wars. Not a child-pandering political farce (The Phantom Menace), a melodramatic soap opera (I'm looking at you Attack of the Clones) or a CGI filled sensory overload (Revenge of the Sith anyone?). No, it's barebones Star Wars. Visually stunning, constantly engaging, and most of all, it's incredibly fun. There are a lot of parallels with A New Hope, like how we're beginning this epic adventure with vastly different characters and learning their stories for the first time. And it shares the basic outline of that movie as well from the monumental opening shot to its massive riveting climax. It's a blast from beginning to end, and especially exhilarating in a packed IMAX theater. "
8,6,"Watchable for nostalgia factor alone. LK, JJ, et al. should be ashamed of this script.",First the good (no spoilers here.)
9,9,"Something, something, something, Dark Side. Something, something, something, complete","It's as if millions of Star Wars fans suddenly cried out in criticism and were suddenly silenced. That's the effect this movie *should* have on most (other than those who'd already decided they were going to be disappointed/hate it no matter what). For all the SANE Star Wars fans out there, I'm happy to report that the Force is strong with this series once again (after taking a walk on the Dark Side with the prequels). All other shoddy imitations take note: THIS is how you do a space opera. The Force Awakens possesses everything that was missing from the soulless prequels: we have a non-snooze-worthy storyline, likable new characters, great acting, non-cringe-worthy dialogue and not such a reliance on only CGI effects/green-screen. The pluses of this movie are in abundance, starting with what's new. All those with reservations about the fresh young actors cast to play new characters Rey and Finn should sit back, relax and watch the beautiful chemistry between the two as their characters form a believable friendship/dynamic on screen like that of the Original Trilogy's trio."
10,6,Oh dear the Force is Weak With This one .,Oh dear what a disappointment ! 
11,10,Best Star Wars Yet - which will please both virgins and vets.,"How do you please franchise fans old and new while making a good, impactful and memorable movie? "
